noise_scale,n_observations,attack_success_rate,n_queries
0.5,1,1.0000,100
0.5,5,1.0000,100
0.5,10,1.0000,100
0.5,20,1.0000,100
1.0,1,0.9500,100
1.0,5,1.0000,100
1.0,10,1.0000,100
1.0,20,1.0000,100
2.0,1,0.6900,100
2.0,5,0.9900,100
2.0,10,1.0000,100
2.0,20,1.0000,100
