mode,noise_scale,run,recall_1,recall_10,mrr,ndcg_10,semantic_drift,rank_corr,latency_ms,bandwidth_kb,privacy_latency_ms,attack_asr_1,attack_asr_5,recon_error,epsilon,score_inf_acc
lsh_adp,0.1,3,0.8400,0.9800,0.9007,0.9208,0.4060,0.4664,209.3808,7.3125,0.0000,1.0000,1.0000,0.0050,8448115.1293,0.8400
lsh_adp,0.1,4,0.8400,0.9800,0.9007,0.9208,0.4060,0.4664,209.0568,7.3125,0.0000,1.0000,1.0000,0.0050,8448115.1293,0.8400
lsh_adp,0.1,5,0.8400,0.9800,0.9007,0.9208,0.4060,0.4664,204.6281,7.3125,0.0000,1.0000,1.0000,0.0050,8448115.1293,0.8400
lsh_adp,0.5,1,0.8400,0.9600,0.8883,0.9065,0.4480,0.4250,207.8284,7.3125,0.0000,1.0000,1.0000,0.1057,338035.1293,0.8400
lsh_adp,0.5,2,0.8400,0.9600,0.8883,0.9065,0.4480,0.4250,207.5125,7.3125,0.0000,1.0000,1.0000,0.1057,338035.1293,0.8400
lsh_adp,0.5,3,0.8400,0.9600,0.8883,0.9065,0.4480,0.4250,201.5461,7.3125,0.0000,1.0000,1.0000,0.1057,338035.1293,0.8400
lsh_adp,0.5,4,0.8400,0.9600,0.8883,0.9065,0.4480,0.4250,205.5019,7.3125,0.0000,1.0000,1.0000,0.1057,338035.1293,0.8400
lsh_adp,0.5,5,0.8400,0.9600,0.8883,0.9065,0.4480,0.4250,212.9159,7.3125,0.0000,1.0000,1.0000,0.1057,338035.1293,0.8400
lsh_adp,1.0,1,0.8000,0.9400,0.8490,0.8716,0.4280,0.4468,204.4673,7.3125,0.0000,0.9400,1.0000,0.2939,84595.1293,0.8000
lsh_adp,1.0,2,0.8000,0.9400,0.8490,0.8716,0.4280,0.4468,202.0681,7.3125,0.0000,0.9400,1.0000,0.2939,84595.1293,0.8000
lsh_adp,1.0,3,0.8000,0.9400,0.8490,0.8716,0.4280,0.4468,200.0207,7.3125,0.0000,0.9400,1.0000,0.2939,84595.1293,0.8000
lsh_adp,1.0,4,0.8000,0.9400,0.8490,0.8716,0.4280,0.4468,201.6088,7.3125,0.0000,0.9400,1.0000,0.2939,84595.1293,0.8000
lsh_adp,1.0,5,0.8000,0.9400,0.8490,0.8716,0.4280,0.4468,201.6472,7.3125,0.0000,0.9400,1.0000,0.2939,84595.1293,0.8000
lsh_adp,2.0,1,0.8000,0.9600,0.8640,0.8881,0.3820,0.4362,203.7385,7.3125,0.0000,0.7200,0.8200,0.5551,21235.1293,0.8000
lsh_adp,2.0,2,0.8000,0.9600,0.8640,0.8881,0.3820,0.4362,202.0581,7.3125,0.0000,0.7200,0.8200,0.5551,21235.1293,0.8000
lsh_adp,2.0,3,0.8000,0.9600,0.8640,0.8881,0.3820,0.4362,203.2314,7.3125,0.0000,0.7200,0.8200,0.5551,21235.1293,0.8000
lsh_adp,2.0,4,0.8000,0.9600,0.8640,0.8881,0.3820,0.4362,201.3116,7.3125,0.0000,0.7200,0.8200,0.5551,21235.1293,0.8000
lsh_adp,2.0,5,0.8000,0.9600,0.8640,0.8881,0.3820,0.4362,200.0311,7.3125,0.0000,0.7200,0.8200,0.5551,21235.1293,0.8000
combined,1.0,1,0.9400,1.0000,0.9667,0.9752,0.3280,0.4968,2045.1310,21666.5702,9.8169,0.9800,1.0000,0.2924,84595.1293,0.0000
combined,1.0,2,0.9400,1.0000,0.9667,0.9752,0.3280,0.4968,2050.2588,21666.5538,6.6843,0.9400,0.9800,0.2943,84595.1293,0.0000
combined,1.0,3,0.9400,1.0000,0.9667,0.9752,0.3280,0.4968,2147.6282,21666.5865,7.4746,0.9600,0.9800,0.2923,84595.1293,0.0000
combined,1.0,4,0.9400,1.0000,0.9667,0.9752,0.3280,0.4968,2043.3849,21666.7378,6.5526,1.0000,1.0000,0.2967,84595.1293,0.0000
combined,1.0,5,0.9400,1.0000,0.9667,0.9752,0.3280,0.4968,2037.3741,21666.6004,6.8230,0.9800,1.0000,0.2937,84595.1293,0.0000
combined,2.0,1,0.9400,1.0000,0.9667,0.9752,0.3280,0.4968,2331.9522,21666.5854,8.4967,0.6200,0.8400,0.5575,21235.1293,0.0000
combined,2.0,2,0.9400,1.0000,0.9667,0.9752,0.3280,0.4968,2054.7053,21666.6916,7.9528,0.6600,0.8800,0.5439,21235.1293,0.0000
combined,2.0,3,0.9400,1.0000,0.9667,0.9752,0.3280,0.4968,2050.6161,21666.3936,6.9955,0.6400,0.8400,0.5477,21235.1293,0.0000
combined,2.0,4,0.9400,1.0000,0.9667,0.9752,0.3280,0.4968,2458.5234,21666.6669,10.5846,0.6400,0.7600,0.5458,21235.1293,0.0000
combined,2.0,5,0.9400,1.0000,0.9667,0.9752,0.3280,0.4968,2548.9006,21666.5885,10.0687,0.6200,0.7400,0.5605,21235.1293,0.0000
